,endTime,artistName,trackName,msPlayed
1897,2021-04-21 00:33,Coralie Clement,Samba de mon cœur qui bat,2389
1898,2021-04-21 00:33,Arctic Monkeys,Suck It and See,3178
1899,2021-04-21 00:33,Dead Or Alive,You Spin Me Round (Like a Record),195146
1900,2021-04-21 00:33,Billy Joel,Vienna,22998
1901,2021-04-21 00:34,Luce,"C'est ça l'amour - Extrait de ""Cendrillon""",3178
1902,2021-04-21 00:34,Françoise Hardy,Tous les garçons et les filles - Slow,2688
1903,2021-04-21 00:36,Luce,"C'est ça l'amour - Extrait de ""Cendrillon""",167954
1904,2021-04-21 00:39,Madeleine Peyroux,J'ai Deux Amours,174133
1905,2021-04-21 00:41,Ella Fitzgerald and Her Savoy Eight,Shine,22509
1906,2021-04-21 00:44,Carla Bruni,Quelqu'un m'a dit,166226
1907,2021-04-21 00:47,Frank Sinatra,Fly Me To The Moon - Remastered,147520
1908,2021-04-21 00:49,Brigitte Bardot,Un jour comme un autre,140831
1909,2021-04-21 00:52,The City of Prague Philharmonic Orchestra,"Speak Softly Love (From ""The Godfather"")",165471
1910,2021-04-21 00:56,Carla Bruni,Le plus beau du quartier,86420
1911,2021-04-21 00:57,The Temptations,My Girl,767
1912,2021-04-21 00:57,Jean Sablon,Ces petites choses,917
1913,2021-04-21 00:57,Carla Bruni,Quelqu'un m'a dit,1002
1914,2021-04-21 18:02,Ella Fitzgerald,Dream A Little Dream Of Me - Single Version,185160
1915,2021-04-21 18:05,Linkin Park,Numb,185586
1916,2021-04-21 18:08,Brigitte Bardot,Un jour comme un autre,140831
1917,2021-04-21 18:11,Brigitte Bardot,Le soleil,195946
1918,2021-04-21 18:12,Naza,Joli bébé,77461
1919,2021-04-21 18:12,Paul Anka,Put Your Head On My Shoulder,2474
1920,2021-04-21 18:13,Sacha Distel,La belle vie,533
1921,2021-04-21 18:13,Elton John,Bennie And The Jets - Remastered 2014,2304
1922,2021-04-21 18:13,Arctic Monkeys,A Certain Romance,2026
1923,2021-04-21 18:15,Sacha Distel,La belle vie,52224
1924,2021-04-22 16:32,Sacha Distel,La belle vie,70607
1925,2021-04-22 16:35,Sacha Distel,La belle vie,123053
1926,2021-04-22 16:38,Jean Sablon,Ces petites choses,190987
1927,2021-04-22 16:41,Keren Ann,Jardin d'hiver,178160
1928,2021-04-22 16:45,Édith Piaf,La vie en rose,186973
1929,2021-04-22 16:45,Françoise Hardy,Le temps de l'amour - Fox Medium,10479
1930,2021-04-22 16:47,Naza,Joli bébé,100878
1931,2021-04-22 16:50,The Hot Sardines,Petite Fleur,205733
1932,2021-04-22 16:51,Frank Sinatra,The Way You Look Tonight,34474
1933,2021-04-22 16:52,Jean Sablon,Depuis que je suis à Paris,6805
1934,2021-04-22 16:52,Paul Anka,Put Your Head On My Shoulder,5738
1935,2021-04-22 16:52,Frank Sinatra,The Way You Look Tonight,1813
1936,2021-04-22 16:54,The City of Prague Philharmonic Orchestra,"Speak Softly Love (From ""The Godfather"")",165471
1937,2021-04-22 16:57,Brigitte Bardot,Un jour comme un autre,140826
1938,2021-04-22 17:00,Brigitte Bardot,Le soleil,195946
1939,2021-04-22 17:01,Elvis Presley,Can't Help Falling in Love,12809
1940,2021-04-22 17:01,Maurice Chevalier,Paris sera toujours Paris,2431
1941,2021-04-22 17:02,Ella Fitzgerald and Her Savoy Eight,Shine,3093
1942,2021-04-22 17:02,Maurice Chevalier,Paris sera toujours Paris,3349
1943,2021-04-22 17:05,Françoise Hardy,Tous les garçons et les filles - Slow,187746
1944,2021-04-22 17:06,Louise Verneuil,Love Corail,37033
1945,2021-04-22 17:34,Line Renaud,Vous qui passez sans me voir - Remasterisé en 2013,179866
1946,2021-04-22 17:41,Louise Verneuil,À mort amant,366413
1947,2021-04-22 17:44,Henri Salvador,Jardin d'hiver,168000
1948,2021-04-22 17:47,Arctic Monkeys,Too Much To Ask,183253
1949,2021-04-22 17:52,Angèle,Nombreux,192546
1950,2021-04-22 17:54,Naza,Joli bébé,3157
1951,2021-04-22 17:54,Ella Fitzgerald,Cheek To Cheek,79739
1952,2021-04-22 18:00,Billie Holiday,Blue Moon,12513
1953,2021-04-22 18:00,Raquel Mello,Quero Descer,1685
1954,2021-04-22 18:00,Nat King Cole,L-O-V-E,155306
1955,2021-04-22 18:02,Pomme,Ceux qui rêvent,118386
1956,2021-04-22 18:06,Jean Sablon,Ces petites choses,4053
1957,2021-04-22 18:06,The Hot Sardines,Petite Fleur,5397
1958,2021-04-22 18:06,Brigitte Bardot,Le soleil,5888
1959,2021-04-22 18:06,Françoise Hardy,Tous les garçons et les filles - Slow,187746
1960,2021-04-22 18:09,The Hot Sardines,Petite Fleur,200347
1961,2021-04-22 18:15,Carla Bruni,Le plus beau du quartier,208173
1962,2021-04-22 18:17,The City of Prague Philharmonic Orchestra,"Speak Softly Love (From ""The Godfather"")",2901
1963,2021-04-22 18:17,Paul Anka,Put Your Head On My Shoulder,1386
1964,2021-04-22 18:17,Stacey Kent,La vénus du mélo,17423
1965,2021-04-23 14:12,Brigitte Bardot,Un jour comme un autre,140831
1966,2021-04-23 14:15,Luce,"C'est ça l'amour - Extrait de ""Cendrillon""",153047
1967,2021-04-23 14:15,Luce,"C'est ça l'amour - Extrait de ""Cendrillon""",18070
1968,2021-04-23 14:18,Frank Sinatra,Fly Me To The Moon - Remastered,147520
1969,2021-04-23 14:21,Keren Ann,Jardin d'hiver,178160
1970,2021-04-23 14:25,Madeleine Peyroux,La Javanaise,249400
1971,2021-04-23 14:26,Dean Martin,That's Amore - Remastered,4671
1972,2021-04-23 14:26,Jean Sablon,Depuis que je suis à Paris,3733
1973,2021-04-23 14:26,Engelbert Humperdinck,Can't Take My Eyes Off You,2453
1974,2021-04-23 14:26,Engelbert Humperdinck,Can't Take My Eyes Off You,12073
1975,2021-04-23 14:26,Elton John,Bennie And The Jets - Remastered 2014,4650
1976,2021-04-23 14:26,Nat King Cole,L-O-V-E,4031
1977,2021-04-23 14:29,Nat King Cole,L-O-V-E,151304
1978,2021-04-23 14:32,Édith Piaf,La vie en rose,186973
1979,2021-04-23 14:36,Louis Armstrong,Moon River,179866
1980,2021-04-23 14:38,Serge Gainsbourg,La javanaise,149240
1981,2021-04-23 14:39,Frank Sinatra,Come Fly With Me - Remastered,65341
1982,2021-04-23 14:42,Naza,Joli bébé,178311
1983,2021-04-23 14:47,Louise Verneuil,À mort amant,251488
1984,2021-04-23 17:02,Louise Verneuil,À mort amant,26752
1985,2021-04-23 17:02,Symon,Paris,8405
1986,2021-04-23 17:02,Brigitte Bardot,Le soleil,4629
1987,2021-04-23 17:02,Arctic Monkeys,A Certain Romance,2751
1988,2021-04-23 17:03,Louise Verneuil,À mort amant,5162
1989,2021-04-23 17:10,Brigitte Bardot,Le soleil,191335
1990,2021-04-23 17:11,Sacha Distel,La belle vie,36139
1991,2021-04-24 21:40,Sacha Distel,La belle vie,86878
1992,2021-04-24 21:43,Édith Piaf,La vie en rose,186973
1993,2021-04-24 21:43,Yves Montand,Les feuilles mortes,2538
1994,2021-04-24 21:43,Elvis Presley,Can't Help Falling in Love,8433
